Dataset,Model,Cloud cover,Predicted Value
Mornings Special,XGBoost,0.36363636363636365,302.47552490234375
Mornings Special,XGBoost,0.37373737373737376,300.6976623535156
Mornings Special,XGBoost,0.38383838383838387,295.39825439453125
Mornings Special,XGBoost,0.393939393939394,295.4922180175781
Mornings Special,XGBoost,0.4040404040404041,300.4635314941406
Mornings Special,XGBoost,0.4141414141414142,300.593017578125
Mornings Special,XGBoost,0.42424242424242425,302.1013488769531
Mornings Special,XGBoost,0.43434343434343436,302.13616943359375
Mornings Special,XGBoost,0.4444444444444445,298.1584777832031
Mornings Special,XGBoost,0.4545454545454546,294.3974914550781
Mornings Special,XGBoost,0.4646464646464647,291.8145751953125
Mornings Special,XGBoost,0.4747474747474748,291.55914306640625
Mornings Special,XGBoost,0.48484848484848486,283.29754638671875
Mornings Special,XGBoost,0.494949494949495,294.84979248046875
Mornings Special,XGBoost,0.5050505050505051,293.9889221191406
Mornings Special,XGBoost,0.5151515151515152,297.42449951171875
Mornings Special,XGBoost,0.5252525252525253,293.8962707519531
Mornings Special,XGBoost,0.5353535353535354,294.76177978515625
Mornings Special,XGBoost,0.5454545454545455,295.18548583984375
Mornings Special,XGBoost,0.5555555555555556,295.93450927734375
Mornings Special,XGBoost,0.5656565656565657,298.1239013671875
Mornings Special,XGBoost,0.5757575757575758,300.2702331542969
Mornings Special,XGBoost,0.5858585858585859,299.6109924316406
Mornings Special,XGBoost,0.595959595959596,303.3943786621094
Mornings Special,XGBoost,0.6060606060606061,296.4966125488281
Mornings Special,XGBoost,0.6161616161616162,300.4422302246094
Mornings Special,XGBoost,0.6262626262626263,297.6820983886719
Mornings Special,XGBoost,0.6363636363636365,297.5155944824219
Mornings Special,XGBoost,0.6464646464646465,305.34869384765625
Mornings Special,XGBoost,0.6565656565656566,299.30767822265625
Mornings Special,XGBoost,0.6666666666666667,299.1748962402344
Mornings Special,XGBoost,0.6767676767676768,301.0411071777344
Mornings Special,XGBoost,0.686868686868687,301.0570983886719
Mornings Special,XGBoost,0.696969696969697,299.64764404296875
Mornings Special,XGBoost,0.7070707070707072,298.8727111816406
Mornings Special,XGBoost,0.7171717171717172,299.1181945800781
Mornings Special,XGBoost,0.7272727272727273,299.45849609375
Mornings Special,XGBoost,0.7373737373737375,296.9241943359375
Mornings Special,XGBoost,0.7474747474747475,300.60107421875
Mornings Special,XGBoost,0.7575757575757577,299.1207275390625
Mornings Special,XGBoost,0.7676767676767677,299.6321105957031
Mornings Special,XGBoost,0.7777777777777778,299.15899658203125
Mornings Special,XGBoost,0.787878787878788,299.073486328125
Mornings Special,XGBoost,0.797979797979798,298.7572937011719
Mornings Special,XGBoost,0.8080808080808082,299.0849304199219
Mornings Special,XGBoost,0.8181818181818182,298.3851013183594
Mornings Special,XGBoost,0.8282828282828284,297.629150390625
Mornings Special,XGBoost,0.8383838383838385,294.81182861328125
Mornings Special,XGBoost,0.8484848484848485,294.75372314453125
Mornings Special,XGBoost,0.8585858585858587,293.8178405761719
Mornings Special,XGBoost,0.8686868686868687,294.468505859375
Mornings Special,XGBoost,0.8787878787878789,293.8059387207031
