Dataset,Model,Elderly,Predicted Value
All,CatBoost,24.848484848484848,606.0846563736712
All,CatBoost,25.454545454545457,606.0846563736712
All,CatBoost,26.060606060606062,606.0846563736712
All,CatBoost,26.666666666666668,606.0846563736712
All,CatBoost,27.272727272727273,606.0846563736712
All,CatBoost,27.87878787878788,606.0846563736712
All,CatBoost,28.484848484848484,606.0846563736712
All,CatBoost,29.090909090909093,606.0846563736712
All,CatBoost,29.6969696969697,606.0846563736712
All,CatBoost,30.303030303030305,606.0846563736712
All,CatBoost,30.90909090909091,606.0846563736712
All,CatBoost,31.515151515151516,606.0846563736712
All,CatBoost,32.121212121212125,606.0846563736712
All,CatBoost,32.72727272727273,606.0846563736712
All,CatBoost,33.333333333333336,606.0846563736712
All,CatBoost,33.93939393939394,606.0846563736712
All,CatBoost,34.54545454545455,606.0846563736712
All,CatBoost,35.151515151515156,606.1964546892633
All,CatBoost,35.75757575757576,606.1964546892633
All,CatBoost,36.36363636363637,606.1964546892633
All,CatBoost,36.96969696969697,606.1964546892633
All,CatBoost,37.57575757575758,606.1964546892633
All,CatBoost,38.18181818181818,606.1964546892633
All,CatBoost,38.78787878787879,606.1964546892633
All,CatBoost,39.3939393939394,606.1964546892633
All,CatBoost,40.0,606.1964546892633
All,CatBoost,40.60606060606061,606.1964546892633
All,CatBoost,41.21212121212121,606.1964546892633
All,CatBoost,41.81818181818182,606.1964546892633
All,CatBoost,42.42424242424242,606.1964546892633
All,CatBoost,43.03030303030303,606.1964546892633
All,CatBoost,43.63636363636364,606.1964546892633
All,CatBoost,44.24242424242424,606.0854616875122
All,CatBoost,44.84848484848485,606.0854616875122
All,CatBoost,45.45454545454545,606.0854616875122
All,CatBoost,46.06060606060606,606.0854616875122
All,CatBoost,46.66666666666667,606.0854616875122
All,CatBoost,47.27272727272727,606.0854616875122
All,CatBoost,47.87878787878788,606.0854616875122
All,CatBoost,48.484848484848484,606.0854616875122
All,CatBoost,49.09090909090909,606.0854616875122
All,CatBoost,49.696969696969695,606.0854616875122
All,CatBoost,50.303030303030305,606.0854616875122
All,CatBoost,50.909090909090914,606.0854616875122
All,CatBoost,51.515151515151516,606.0854616875122
All,CatBoost,52.121212121212125,606.0854616875122
All,CatBoost,52.72727272727273,606.0854616875122
All,CatBoost,53.333333333333336,606.0854616875122
All,CatBoost,53.93939393939394,606.0854616875122
All,CatBoost,54.54545454545455,724.0414200501684
All,CatBoost,55.151515151515156,724.0414200501684
All,CatBoost,55.75757575757576,724.0414200501684
All,CatBoost,56.36363636363637,724.0414200501684
All,CatBoost,56.96969696969697,724.0414200501684
All,CatBoost,57.57575757575758,724.0414200501684
All,CatBoost,58.18181818181819,724.0414200501684
All,CatBoost,58.78787878787879,724.0414200501684
All,CatBoost,59.3939393939394,724.0414200501684
All,CatBoost,60.0,724.0414200501684
All,LightGBM,0.0,558.9871556754723
All,LightGBM,0.6060606060606061,559.9026280082985
All,LightGBM,1.2121212121212122,559.9026280082985
All,LightGBM,1.8181818181818183,560.5539617971444
All,LightGBM,2.4242424242424243,560.5539617971444
All,LightGBM,3.0303030303030303,560.5735060212851
All,LightGBM,3.6363636363636367,558.5723739315902
All,LightGBM,4.242424242424242,558.5723739315902
All,LightGBM,4.848484848484849,558.2350117491527
All,LightGBM,5.454545454545455,558.2350117491527
All,LightGBM,6.0606060606060606,564.2248907696442
All,LightGBM,6.666666666666667,565.1952432018339
All,LightGBM,7.272727272727273,565.1952432018339
All,LightGBM,7.878787878787879,575.760477582595
All,LightGBM,8.484848484848484,575.760477582595
All,LightGBM,9.090909090909092,575.7824202464571
All,LightGBM,9.696969696969697,576.1973810277594
All,LightGBM,10.303030303030303,576.1973810277594
All,LightGBM,10.90909090909091,576.1973810277594
All,LightGBM,11.515151515151516,576.1243894200031
All,LightGBM,12.121212121212121,576.1243894200031
All,LightGBM,12.727272727272728,576.1243894200031
All,LightGBM,13.333333333333334,576.1243894200031
All,LightGBM,13.93939393939394,578.992430357437
All,LightGBM,14.545454545454547,589.1316177443533
All,LightGBM,15.151515151515152,589.1316177443533
All,LightGBM,15.757575757575758,592.09448838336
All,LightGBM,16.363636363636363,592.09448838336
All,LightGBM,16.96969696969697,592.09448838336
All,LightGBM,17.575757575757578,592.09448838336
All,LightGBM,18.181818181818183,591.6330015751686
All,LightGBM,18.78787878787879,591.6330015751686
All,LightGBM,19.393939393939394,591.6330015751686
