Dataset,Model,15 Tree density,Predicted Value
Mornings,CatBoost,0.14036734849921637,780.4741659420619
Mornings,CatBoost,0.14184949568329122,780.4741659420619
Mornings,CatBoost,0.1433316428673661,780.4741659420619
Mornings,CatBoost,0.144813790051441,780.4741659420619
Mornings,CatBoost,0.14629593723551587,780.4741659420619
Mornings,CatBoost,0.14777808441959076,780.4741659420619
Mornings,CatBoost,0.14926023160366564,780.4741659420619
Mornings,CatBoost,0.15074237878774052,780.4741659420619
Mornings,CatBoost,0.1522245259718154,780.7837443205133
Mornings,CatBoost,0.15370667315589026,780.7837443205133
Mornings,CatBoost,0.15518882033996514,780.7837443205133
Mornings,CatBoost,0.15667096752404003,780.7837443205133
Mornings,CatBoost,0.1581531147081149,780.7837443205133
Mornings,CatBoost,0.1596352618921898,780.4359783316218
Mornings,LightGBM,0.0129026906687767,389.45921379969803
Mornings,LightGBM,0.01438483785285158,389.45921379969803
Mornings,LightGBM,0.01586698503692646,389.45921379969803
Mornings,LightGBM,0.01734913222100134,389.45921379969803
Mornings,LightGBM,0.01883127940507622,389.45921379969803
Mornings,LightGBM,0.0203134265891511,389.45921379969803
Mornings,LightGBM,0.02179557377322598,389.45921379969803
Mornings,LightGBM,0.02327772095730086,389.45921379969803
Mornings,LightGBM,0.02475986814137574,389.45921379969803
Mornings,LightGBM,0.02624201532545062,389.45921379969803
Mornings,LightGBM,0.0277241625095255,389.45921379969803
Mornings,LightGBM,0.029206309693600378,389.45921379969803
Mornings,LightGBM,0.030688456877675255,389.45921379969803
Mornings,LightGBM,0.03217060406175014,389.45921379969803
Mornings,LightGBM,0.033652751245825015,389.45921379969803
Mornings,LightGBM,0.0351348984298999,389.45921379969803
Mornings,LightGBM,0.036617045613974775,389.45921379969803
Mornings,LightGBM,0.03809919279804966,389.45921379969803
Mornings,LightGBM,0.039581339982124535,389.45921379969803
Mornings,LightGBM,0.04106348716619942,389.45921379969803
Mornings,LightGBM,0.042545634350274295,848.4870923602779
Mornings,LightGBM,0.04402778153434918,848.4870923602779
Mornings,LightGBM,0.045509928718424054,848.4870923602779
Mornings,LightGBM,0.04699207590249894,848.4870923602779
Mornings,LightGBM,0.048474223086573814,848.4870923602779
Mornings,LightGBM,0.0499563702706487,848.4870923602779
Mornings,LightGBM,0.051438517454723574,848.4870923602779
Mornings,LightGBM,0.05292066463879846,848.4870923602779
Mornings,LightGBM,0.054402811822873334,848.4870923602779
Mornings,LightGBM,0.05588495900694822,848.4870923602779
Mornings,LightGBM,0.057367106191023094,848.4870923602779
Mornings,LightGBM,0.05884925337509798,848.4870923602779
Mornings,LightGBM,0.060331400559172854,848.7411592743113
Mornings,LightGBM,0.06181354774324773,848.7411592743113
Mornings,LightGBM,0.06329569492732261,848.7411592743113
Mornings,LightGBM,0.06477784211139749,848.7411592743113
Mornings,LightGBM,0.06625998929547237,848.7411592743113
Mornings,LightGBM,0.06774213647954724,848.736136839447
Mornings,LightGBM,0.06922428366362213,848.736136839447
Mornings,LightGBM,0.07070643084769701,848.736136839447
Mornings,LightGBM,0.0721885780317719,848.736136839447
Mornings,LightGBM,0.07367072521584676,848.7215353554972
Mornings,LightGBM,0.07515287239992165,848.7215353554972
Mornings,LightGBM,0.07663501958399653,848.7215353554972
Mornings,LightGBM,0.0781171667680714,848.7215353554972
Mornings,LightGBM,0.07959931395214628,848.7215353554972
Mornings,LightGBM,0.08108146113622117,848.7215353554972
Mornings,LightGBM,0.08256360832029605,848.7215353554972
Mornings,LightGBM,0.08404575550437092,848.7215353554972
Mornings,LightGBM,0.0855279026884458,848.7215353554972
Mornings,LightGBM,0.08701004987252069,848.7215353554972
Mornings,LightGBM,0.08849219705659556,848.7215353554972
Mornings,LightGBM,0.08997434424067044,848.7215353554972
Mornings,LightGBM,0.09145649142474532,848.7215353554972
Mornings,LightGBM,0.0929386386088202,848.7215353554972
Mornings,LightGBM,0.09442078579289508,848.7040898759245
Mornings,LightGBM,0.09590293297696996,848.7040898759245
Mornings,LightGBM,0.09738508016104484,849.1010431345885
Mornings,LightGBM,0.09886722734511973,848.5475508023032
Mornings,LightGBM,0.1003493745291946,848.547506466734
Mornings,LightGBM,0.10183152171326948,848.5459922728517
Mornings,LightGBM,0.10331366889734436,848.5459922728517
Mornings,LightGBM,0.10479581608141925,849.5182446515736
Mornings,LightGBM,0.10627796326549412,849.4550001163132
Mornings,LightGBM,0.107760110449569,849.4682414426638
Mornings,LightGBM,0.10924225763364388,849.4756875320489
