Dataset,Model,5 Tram count,Predicted Value
Mornings,CatBoost,13.414141414141415,729.1314183905492
Mornings,CatBoost,13.575757575757576,729.1314183905492
Mornings,CatBoost,13.737373737373739,729.1314183905492
Mornings,CatBoost,13.8989898989899,729.1314183905492
Mornings,CatBoost,14.060606060606062,727.652076158317
Mornings,CatBoost,14.222222222222223,727.652076158317
Mornings,CatBoost,14.383838383838386,727.652076158317
Mornings,CatBoost,14.545454545454547,727.652076158317
Mornings,CatBoost,14.707070707070708,727.652076158317
Mornings,CatBoost,14.86868686868687,727.652076158317
Mornings,CatBoost,15.030303030303031,727.652076158317
Mornings,CatBoost,15.191919191919194,727.652076158317
Mornings,CatBoost,15.353535353535355,727.652076158317
Mornings,CatBoost,15.515151515151516,706.6737205262069
Mornings,CatBoost,15.676767676767678,706.6737205262069
Mornings,CatBoost,15.83838383838384,706.6737205262069
Mornings,CatBoost,16.0,706.6737205262069
Lunches,CatBoost,0.0,1037.674506860974
Lunches,CatBoost,0.16161616161616163,1037.674506860974
Lunches,CatBoost,0.32323232323232326,1037.674506860974
Lunches,CatBoost,0.48484848484848486,1037.674506860974
Lunches,CatBoost,0.6464646464646465,1037.674506860974
Lunches,CatBoost,0.8080808080808082,1037.674506860974
Lunches,CatBoost,0.9696969696969697,1037.674506860974
Lunches,CatBoost,1.1313131313131315,1035.9573730647799
Lunches,CatBoost,1.292929292929293,1035.9573730647799
Lunches,CatBoost,1.4545454545454546,1035.9573730647799
Lunches,CatBoost,1.6161616161616164,1035.9573730647799
Lunches,CatBoost,1.777777777777778,1035.9573730647799
Lunches,CatBoost,1.9393939393939394,1035.9573730647799
Lunches,CatBoost,2.101010101010101,1035.9573730647799
Lunches,CatBoost,2.262626262626263,1035.9573730647799
Lunches,CatBoost,2.4242424242424243,1035.9573730647799
Lunches,CatBoost,2.585858585858586,1035.866708521441
Lunches,CatBoost,2.747474747474748,1035.866708521441
Lunches,CatBoost,2.909090909090909,1035.866708521441
Lunches,CatBoost,3.070707070707071,1035.866708521441
Lunches,CatBoost,3.2323232323232327,1035.866708521441
Lunches,CatBoost,3.393939393939394,1035.866708521441
Lunches,CatBoost,3.555555555555556,1035.9858019585713
Lunches,CatBoost,3.7171717171717176,1035.9858019585713
Lunches,CatBoost,3.878787878787879,1035.9858019585713
Lunches,CatBoost,4.040404040404041,1035.9858019585713
Lunches,CatBoost,4.202020202020202,1035.9858019585713
Lunches,CatBoost,4.363636363636364,1035.9858019585713
Lunches,CatBoost,4.525252525252526,1035.9858019585713
Lunches,CatBoost,4.686868686868687,1035.9858019585713
Lunches,CatBoost,4.848484848484849,1035.9858019585713
Lunches,CatBoost,5.01010101010101,1035.9858019585713
Lunches,CatBoost,5.171717171717172,1035.9858019585713
