Dataset,Model,Temperature,Predicted Value
Mornings Special,CatBoost,12.490909090909092,292.08696018618
Mornings Special,CatBoost,12.766666666666666,292.4822412765455
Mornings Special,CatBoost,13.042424242424243,296.37576149493117
Mornings Special,CatBoost,13.318181818181818,301.56771247789464
Mornings Special,CatBoost,13.593939393939394,301.561671338099
Mornings Special,CatBoost,13.869696969696971,300.3481387197226
Mornings Special,CatBoost,14.145454545454545,296.4109638344236
Mornings Special,CatBoost,14.421212121212122,305.08962807886275
Mornings Special,CatBoost,14.696969696969697,326.8323060528223
Mornings Special,CatBoost,14.972727272727273,297.5218912859534
Mornings Special,CatBoost,15.24848484848485,301.3557677650439
Mornings Special,CatBoost,15.524242424242424,299.8940975438005
Mornings Special,CatBoost,15.8,305.31684922510414
Mornings Special,CatBoost,16.075757575757574,316.9719445079171
Mornings Special,CatBoost,16.35151515151515,294.1877380343504
Mornings Special,CatBoost,16.62727272727273,297.83716225617525
Mornings Special,CatBoost,16.903030303030302,296.5075387693726
Mornings Special,CatBoost,17.17878787878788,296.2574063502708
Mornings Special,CatBoost,17.454545454545453,296.1168838402014
Mornings Special,CatBoost,17.73030303030303,296.5719676200329
Mornings Special,CatBoost,18.006060606060608,296.54031425585833
Mornings Special,CatBoost,18.28181818181818,297.4272350643967
Mornings Special,CatBoost,18.55757575757576,297.7456130443942
Mornings Special,CatBoost,18.833333333333332,314.2119622495622
Mornings Special,CatBoost,19.10909090909091,303.45907770374157
Mornings Special,CatBoost,19.384848484848487,303.0968632038487
Mornings Special,CatBoost,19.66060606060606,303.09526368167445
Mornings Special,CatBoost,19.936363636363637,303.3798853397789
Mornings Special,CatBoost,20.21212121212121,301.66670607754435
Mornings Special,CatBoost,20.48787878787879,306.8762133611366
Mornings Special,CatBoost,20.763636363636365,307.5940307690912
Mornings Special,CatBoost,21.03939393939394,308.5140766705646
Mornings Special,CatBoost,21.315151515151516,317.268780328315
Mornings Special,CatBoost,21.59090909090909,313.06671226719993
Mornings Special,CatBoost,21.866666666666667,313.1871674310022
Mornings Special,CatBoost,22.14242424242424,313.2745340207916
Mornings Special,CatBoost,22.418181818181818,298.5507140578302
Mornings Special,CatBoost,22.693939393939395,298.1874334167306
Mornings Special,CatBoost,22.96969696969697,311.409600640045
Mornings Special,CatBoost,23.245454545454546,310.7586094633091
Mornings Special,CatBoost,23.52121212121212,310.380654832723
Mornings Special,CatBoost,23.796969696969697,309.0514030463175
Mornings Special,CatBoost,24.07272727272727,315.43829377236733
Mornings Special,CatBoost,24.348484848484848,326.83935510138457
Mornings Special,CatBoost,24.624242424242425,330.8252235846314
Mornings Special,CatBoost,24.9,319.7540177318211
Mornings Special,CatBoost,25.175757575757576,319.7540177318211
