Dataset,Model,Footprint mean,Predicted Value
Mornings,CatBoost,12444.210666666668,760.5112698117633
Mornings,CatBoost,12629.63994949495,760.5112698117633
Mornings,CatBoost,12815.069232323232,760.5112698117633
Mornings,CatBoost,13000.498515151516,760.5112698117633
Mornings,CatBoost,13185.927797979799,760.5112698117633
Mornings,CatBoost,13371.35708080808,760.5112698117633
Mornings,CatBoost,13556.786363636364,760.5112698117633
Mornings,CatBoost,13742.215646464647,760.5112698117633
Mornings,CatBoost,13927.64492929293,760.5112698117633
Mornings,CatBoost,14113.074212121212,760.5112698117633
Mornings,CatBoost,14298.503494949495,760.5112698117633
Mornings,CatBoost,14483.932777777778,760.5112698117633
Mornings,CatBoost,14669.362060606061,760.5112698117633
Mornings,CatBoost,14854.791343434343,760.5112698117633
Mornings,CatBoost,15040.220626262626,760.3983149587411
Mornings,CatBoost,15225.64990909091,760.3983149587411
Mornings,CatBoost,15411.079191919192,760.3983149587411
Mornings,CatBoost,15596.508474747476,760.3983149587411
Mornings,CatBoost,15781.937757575757,760.3983149587411
Mornings,CatBoost,15967.36704040404,760.3983149587411
Mornings,CatBoost,16152.796323232324,760.3983149587411
Mornings,CatBoost,16338.225606060607,760.3983149587411
Mornings,CatBoost,16523.654888888886,760.3983149587411
Mornings,CatBoost,16709.08417171717,760.3983149587411
Mornings,CatBoost,16894.513454545453,760.3983149587411
Mornings,CatBoost,17079.942737373738,760.3983149587411
Mornings,CatBoost,17265.37202020202,760.3983149587411
Mornings,CatBoost,17450.801303030305,760.3983149587411
Mornings,CatBoost,17636.230585858586,760.3983149587411
Mornings,CatBoost,17821.659868686867,760.3983149587411
Mornings,CatBoost,18007.089151515152,760.3983149587411
Mornings,CatBoost,18192.518434343434,760.3983149587411
Mornings,CatBoost,18377.94771717172,760.3983149587411
Mornings,CatBoost,18563.377,760.3983149587411
Mornings,LightGBM,205.878,671.170060743344
Mornings,LightGBM,391.30728282828284,671.1134648029864
Mornings,LightGBM,576.7365656565656,671.1453495049815
Mornings,LightGBM,762.1658484848485,685.720204571335
Mornings,LightGBM,947.5951313131313,717.1833499853599
Mornings,LightGBM,1133.0244141414141,734.3564901217544
Mornings,LightGBM,1318.453696969697,734.5588126052049
Mornings,LightGBM,1503.8829797979797,734.5076161070549
Mornings,LightGBM,1689.3122626262625,735.1637930072817
Mornings,LightGBM,1874.7415454545453,734.0131993248174
Mornings,LightGBM,2060.170828282828,724.1473681615282
Mornings,LightGBM,2245.600111111111,720.9538283830614
Mornings,LightGBM,2431.029393939394,718.4789913513137
Mornings,LightGBM,2616.458676767677,718.4789913513137
Mornings,LightGBM,2801.8879595959597,719.3565782136109
Mornings,LightGBM,2987.3172424242425,720.0039505499914
Mornings,LightGBM,3172.7465252525253,723.3882124482321
Mornings,LightGBM,3358.175808080808,723.3882124482321
Mornings,LightGBM,3543.605090909091,723.3882124482321
Mornings,LightGBM,3729.0343737373737,729.2496590285336
Mornings,LightGBM,3914.4636565656565,729.2496590285336
Mornings,LightGBM,4099.892939393939,729.2496590285336
Mornings,LightGBM,4285.322222222222,728.753336111214
Mornings,LightGBM,4470.751505050504,728.753336111214
Mornings,LightGBM,4656.180787878788,728.753336111214
Mornings,LightGBM,4841.61007070707,728.753336111214
Mornings,LightGBM,5027.039353535353,752.2734548538468
Mornings,LightGBM,5212.468636363636,752.2734548538468
Mornings,LightGBM,5397.897919191919,752.2734548538468
Mornings,LightGBM,5583.327202020201,752.2734548538468
Mornings,LightGBM,5768.756484848484,752.2734548538468
Mornings,LightGBM,5954.185767676767,752.2734548538468
Mornings,LightGBM,6139.61505050505,749.5746275174754
Mornings,LightGBM,6325.044333333333,749.5746275174754
Mornings,LightGBM,6510.473616161616,749.5746275174754
Mornings,LightGBM,6695.902898989899,749.5746275174754
Mornings,LightGBM,6881.332181818181,749.5746275174754
Mornings,LightGBM,7066.761464646464,749.5746275174754
Mornings,LightGBM,7252.190747474747,749.5746275174754
Mornings,LightGBM,7437.62003030303,749.5746275174754
Mornings,LightGBM,7623.049313131312,749.5746275174754
Mornings,LightGBM,7808.478595959596,749.5746275174754
Mornings,LightGBM,7993.907878787878,749.5746275174754
Mornings,LightGBM,8179.337161616161,749.5746275174754
Mornings,LightGBM,8364.766444444444,749.5746275174754
Mornings,LightGBM,8550.195727272727,749.5746275174754
