Dataset,Model,Day,Predicted Value
Mornings Special,CatBoost,10.696969696969697,296.4461397005975
Mornings Special,CatBoost,11.0,296.4461397005975
Mornings Special,CatBoost,11.303030303030303,296.4461397005975
Mornings Special,CatBoost,11.606060606060606,298.86073092667624
Mornings Special,CatBoost,11.90909090909091,298.86073092667624
Mornings Special,CatBoost,12.212121212121213,298.86073092667624
Mornings Special,CatBoost,12.515151515151516,303.071842054773
Mornings Special,CatBoost,12.818181818181818,303.071842054773
Mornings Special,CatBoost,13.121212121212121,303.071842054773
Mornings Special,CatBoost,13.424242424242424,303.071842054773
Mornings Special,CatBoost,13.727272727272728,302.77045451773427
Mornings Special,CatBoost,14.030303030303031,302.77045451773427
Mornings Special,CatBoost,14.333333333333334,302.77045451773427
Mornings Special,CatBoost,14.636363636363637,301.82035217182266
Mornings Special,CatBoost,14.93939393939394,301.82035217182266
Mornings Special,CatBoost,15.242424242424242,301.82035217182266
Mornings Special,CatBoost,15.545454545454547,303.46817258024447
Mornings Special,CatBoost,15.84848484848485,303.46817258024447
Mornings Special,CatBoost,16.151515151515152,303.46817258024447
Mornings Special,CatBoost,16.454545454545453,303.46817258024447
Mornings Special,CatBoost,16.757575757575758,302.32205346125016
Mornings Special,CatBoost,17.060606060606062,302.32205346125016
Mornings Special,CatBoost,17.363636363636363,302.32205346125016
Mornings Special,CatBoost,17.666666666666668,300.94813932545867
Mornings Special,CatBoost,17.96969696969697,300.94813932545867
Mornings Special,CatBoost,18.272727272727273,300.94813932545867
Mornings Special,CatBoost,18.575757575757578,300.35839885205195
Mornings Special,CatBoost,18.87878787878788,300.35839885205195
Mornings Special,CatBoost,19.181818181818183,300.35839885205195
Mornings Special,CatBoost,19.484848484848484,300.35839885205195
Mornings Special,CatBoost,19.78787878787879,300.2221491198328
Mornings Special,CatBoost,20.09090909090909,300.2221491198328
Mornings Special,CatBoost,20.393939393939394,300.2221491198328
Mornings Special,CatBoost,20.6969696969697,300.16966610923436
Mornings Special,CatBoost,21.0,300.16966610923436
Mornings Special,CatBoost,21.303030303030305,300.16966610923436
Mornings Special,CatBoost,21.606060606060606,301.3860152897515
Mornings Special,CatBoost,21.90909090909091,301.3860152897515
Mornings Special,CatBoost,22.21212121212121,301.3860152897515
Mornings Special,CatBoost,22.515151515151516,302.72543523048535
Mornings Special,CatBoost,22.81818181818182,302.72543523048535
Mornings Special,CatBoost,23.12121212121212,302.72543523048535
Mornings Special,CatBoost,23.424242424242426,302.72543523048535
Mornings Special,CatBoost,23.727272727272727,305.0770665066718
Mornings Special,CatBoost,24.03030303030303,305.0770665066718
Mornings Special,CatBoost,24.333333333333336,305.0770665066718
Mornings Special,CatBoost,24.636363636363637,312.8542295449345
Mornings Special,CatBoost,24.93939393939394,312.8542295449345
Mornings Special,CatBoost,25.242424242424242,312.8542295449345
Mornings Special,CatBoost,25.545454545454547,339.05601116622887
Mornings Special,CatBoost,25.848484848484848,339.05601116622887
Mornings Special,CatBoost,26.151515151515152,339.05601116622887
Mornings Special,CatBoost,26.454545454545457,339.05601116622887
Mornings Special,CatBoost,26.757575757575758,306.58211181118963
Mornings Special,CatBoost,27.060606060606062,306.58211181118963
Mornings Special,CatBoost,27.363636363636363,306.58211181118963
Mornings Special,CatBoost,27.666666666666668,303.14770753077164
Mornings Special,CatBoost,27.96969696969697,303.14770753077164
Mornings Special,CatBoost,28.272727272727273,303.14770753077164
Mornings Special,CatBoost,28.575757575757578,296.2727680289517
Mornings Special,CatBoost,28.87878787878788,296.2727680289517
Mornings Special,CatBoost,29.181818181818183,296.2727680289517
Mornings Special,CatBoost,29.484848484848484,296.2727680289517
Mornings Special,CatBoost,29.78787878787879,295.8506164111968
Mornings Special,CatBoost,30.090909090909093,295.8506164111968
Mornings Special,CatBoost,30.393939393939394,295.8506164111968
Mornings Special,CatBoost,30.6969696969697,283.8863169860226
Mornings Special,CatBoost,31.0,283.8863169860226
Mornings Special,LightGBM,1.0,289.73602155293537
Mornings Special,LightGBM,1.303030303030303,289.73602155293537
Mornings Special,LightGBM,1.606060606060606,278.878619604517
Mornings Special,LightGBM,1.9090909090909092,278.878619604517
Mornings Special,LightGBM,2.212121212121212,278.878619604517
Mornings Special,LightGBM,2.515151515151515,278.10588503449844
Mornings Special,LightGBM,2.8181818181818183,278.10588503449844
Mornings Special,LightGBM,3.121212121212121,278.10588503449844
Mornings Special,LightGBM,3.4242424242424243,278.10588503449844
Mornings Special,LightGBM,3.7272727272727275,281.49148643194974
Mornings Special,LightGBM,4.03030303030303,281.49148643194974
Mornings Special,LightGBM,4.333333333333334,281.49148643194974
Mornings Special,LightGBM,4.636363636363637,289.1293627224072
Mornings Special,LightGBM,4.9393939393939394,289.1293627224072
Mornings Special,LightGBM,5.242424242424242,289.1293627224072
Mornings Special,LightGBM,5.545454545454546,292.2098019378874
Mornings Special,LightGBM,5.848484848484849,292.2098019378874
Mornings Special,LightGBM,6.151515151515151,292.2098019378874
Mornings Special,LightGBM,6.454545454545455,292.2098019378874
Mornings Special,LightGBM,6.757575757575758,292.73581659456806
Mornings Special,LightGBM,7.0606060606060606,292.73581659456806
Mornings Special,LightGBM,7.363636363636364,292.73581659456806
Mornings Special,LightGBM,7.666666666666667,289.2530888035468
Mornings Special,LightGBM,7.96969696969697,289.2530888035468
Mornings Special,LightGBM,8.272727272727273,289.2530888035468
Mornings Special,LightGBM,8.575757575757576,290.7619874031466
Mornings Special,LightGBM,8.878787878787879,290.7619874031466
Mornings Special,LightGBM,9.181818181818182,290.7619874031466
Mornings Special,LightGBM,9.484848484848484,290.7619874031466
Mornings Special,LightGBM,9.787878787878789,290.11933964235715
Mornings Special,LightGBM,10.090909090909092,290.11933964235715
Mornings Special,LightGBM,10.393939393939394,290.11933964235715
Mornings Special,LightGBM,10.696969696969697,300.538373310973
Mornings Special,LightGBM,11.0,300.538373310973
Mornings Special,LightGBM,11.303030303030303,300.538373310973
Mornings Special,LightGBM,11.606060606060606,296.7978860954991
