Dataset,Model,Year,Predicted Value
Afternoons,CatBoost,2016.0707070707072,1253.2438414337678
Afternoons,CatBoost,2016.171717171717,1253.2438414337678
Afternoons,CatBoost,2016.2727272727273,1253.2438414337678
Afternoons,CatBoost,2016.3737373737374,1253.2438414337678
Afternoons,CatBoost,2016.4747474747476,1253.2438414337678
Afternoons,CatBoost,2016.5757575757575,1255.3796139710425
Afternoons,CatBoost,2016.6767676767677,1255.3796139710425
Afternoons,CatBoost,2016.7777777777778,1255.3796139710425
Afternoons,CatBoost,2016.878787878788,1255.3796139710425
Afternoons,CatBoost,2016.979797979798,1255.3796139710425
Afternoons,CatBoost,2017.080808080808,1255.3796139710425
Afternoons,CatBoost,2017.1818181818182,1255.3796139710425
Afternoons,CatBoost,2017.2828282828282,1255.3796139710425
Afternoons,CatBoost,2017.3838383838383,1255.3796139710425
Afternoons,CatBoost,2017.4848484848485,1255.3796139710425
Afternoons,CatBoost,2017.5858585858587,1267.1647546541676
Afternoons,CatBoost,2017.6868686868686,1267.1647546541676
Afternoons,CatBoost,2017.7878787878788,1267.1647546541676
Afternoons,CatBoost,2017.888888888889,1267.1647546541676
Afternoons,CatBoost,2017.989898989899,1267.1647546541676
Afternoons,CatBoost,2018.090909090909,1267.1647546541676
Afternoons,CatBoost,2018.1919191919192,1267.1647546541676
Afternoons,CatBoost,2018.2929292929293,1267.1647546541676
Afternoons,CatBoost,2018.3939393939395,1267.1647546541676
Afternoons,CatBoost,2018.4949494949494,1267.1647546541676
Afternoons,CatBoost,2018.5959595959596,1263.3083036681883
Afternoons,CatBoost,2018.6969696969697,1263.3083036681883
Afternoons,CatBoost,2018.79797979798,1263.3083036681883
Afternoons,CatBoost,2018.8989898989898,1263.3083036681883
Afternoons,CatBoost,2019.0,1263.3083036681883
Afternoons,LightGBM,2009.0,1189.2562903902806
Afternoons,LightGBM,2009.1010101010102,1189.2562903902806
Afternoons,LightGBM,2009.20202020202,1189.2562903902806
Afternoons,LightGBM,2009.3030303030303,1189.2562903902806
Afternoons,LightGBM,2009.4040404040404,1189.2562903902806
Afternoons,LightGBM,2009.5050505050506,1179.5410929311377
Afternoons,LightGBM,2009.6060606060605,1179.5410929311377
Afternoons,LightGBM,2009.7070707070707,1179.5410929311377
Afternoons,LightGBM,2009.8080808080808,1179.5410929311377
Afternoons,LightGBM,2009.909090909091,1179.5410929311377
Afternoons,LightGBM,2010.010101010101,1179.5410929311377
Afternoons,LightGBM,2010.111111111111,1179.5410929311377
Afternoons,LightGBM,2010.2121212121212,1179.5410929311377
Afternoons,LightGBM,2010.3131313131314,1179.5410929311377
Afternoons,LightGBM,2010.4141414141413,1179.5410929311377
Afternoons,LightGBM,2010.5151515151515,1208.8107627279032
Afternoons,LightGBM,2010.6161616161617,1208.8107627279032
Afternoons,LightGBM,2010.7171717171718,1208.8107627279032
Afternoons,LightGBM,2010.8181818181818,1208.8107627279032
Afternoons,LightGBM,2010.919191919192,1208.8107627279032
Afternoons,LightGBM,2011.020202020202,1208.8107627279032
Afternoons,LightGBM,2011.121212121212,1208.8107627279032
Afternoons,LightGBM,2011.2222222222222,1208.8107627279032
Afternoons,LightGBM,2011.3232323232323,1208.8107627279032
Afternoons,LightGBM,2011.4242424242425,1208.8107627279032
Afternoons,LightGBM,2011.5252525252524,1201.5389530027649
Afternoons,LightGBM,2011.6262626262626,1201.5389530027649
Afternoons,LightGBM,2011.7272727272727,1201.5389530027649
Afternoons,LightGBM,2011.828282828283,1201.5389530027649
Afternoons,LightGBM,2011.9292929292928,1201.5389530027649
Afternoons,LightGBM,2012.030303030303,1201.5389530027649
Afternoons,LightGBM,2012.1313131313132,1201.5389530027649
Afternoons,LightGBM,2012.2323232323233,1201.5389530027649
Afternoons,LightGBM,2012.3333333333333,1201.5389530027649
Afternoons,LightGBM,2012.4343434343434,1201.5389530027649
Afternoons,LightGBM,2012.5353535353536,1192.6713776798629
Afternoons,LightGBM,2012.6363636363637,1192.6713776798629
Afternoons,LightGBM,2012.7373737373737,1192.6713776798629
Afternoons,LightGBM,2012.8383838383838,1192.6713776798629
Afternoons,LightGBM,2012.939393939394,1192.6713776798629
Afternoons,LightGBM,2013.040404040404,1192.6713776798629
Afternoons,LightGBM,2013.141414141414,1192.6713776798629
Afternoons,LightGBM,2013.2424242424242,1192.6713776798629
Afternoons,LightGBM,2013.3434343434344,1192.6713776798629
Afternoons,LightGBM,2013.4444444444443,1192.6713776798629
Afternoons,LightGBM,2013.5454545454545,1192.2819636917438
Afternoons,LightGBM,2013.6464646464647,1192.2819636917438
