Dataset,Model,Total precipitation,Predicted Value
Lunches,CatBoost,1.1536212121212122,1076.856830528946
Lunches,CatBoost,1.1810883838383839,1076.856830528946
Lunches,CatBoost,1.2085555555555556,1076.856830528946
Lunches,CatBoost,1.2360227272727273,1079.3952394427643
Lunches,CatBoost,1.263489898989899,1081.4621693786505
Lunches,CatBoost,1.2909570707070708,1081.4621693786505
Lunches,CatBoost,1.3184242424242425,1081.4621693786505
Lunches,CatBoost,1.3458914141414142,1076.54706435164
Lunches,CatBoost,1.373358585858586,1076.54706435164
Lunches,CatBoost,1.4008257575757577,1076.54706435164
Lunches,CatBoost,1.4282929292929294,1075.0830245158372
Lunches,CatBoost,1.4557601010101011,1075.0830245158372
Lunches,CatBoost,1.4832272727272728,1075.0830245158372
Lunches,CatBoost,1.5106944444444446,1075.0830245158372
Lunches,CatBoost,1.5381616161616163,1075.0830245158372
Lunches,CatBoost,1.565628787878788,1075.0830245158372
Lunches,CatBoost,1.5930959595959597,1075.0830245158372
Lunches,CatBoost,1.6205631313131315,1075.0830245158372
Lunches,CatBoost,1.6480303030303032,1063.7347669365977
Lunches,CatBoost,1.675497474747475,1063.7347669365977
Lunches,CatBoost,1.7029646464646466,1063.7347669365977
Lunches,CatBoost,1.7304318181818183,1063.7347669365977
Lunches,CatBoost,1.75789898989899,1063.7347669365977
Lunches,CatBoost,1.7853661616161618,1069.4033711052637
Lunches,CatBoost,1.8128333333333335,1069.4033711052637
Lunches,CatBoost,1.8403005050505052,1069.4033711052637
Lunches,CatBoost,1.867767676767677,1069.4033711052637
Lunches,CatBoost,1.8952348484848487,1069.4033711052637
Lunches,CatBoost,1.9227020202020204,1069.4033711052637
Lunches,CatBoost,1.9501691919191921,1069.4033711052637
Lunches,CatBoost,1.9776363636363639,1069.4033711052637
Lunches,CatBoost,2.0051035353535354,1069.4033711052637
Lunches,CatBoost,2.032570707070707,1069.4033711052637
Lunches,CatBoost,2.060037878787879,1069.4033711052637
Lunches,CatBoost,2.0875050505050505,1069.4033711052637
Lunches,CatBoost,2.1149722222222223,1069.4033711052637
Lunches,CatBoost,2.142439393939394,1069.4033711052637
Lunches,CatBoost,2.1699065656565657,1069.4033711052637
Lunches,CatBoost,2.1973737373737374,1069.4033711052637
Lunches,CatBoost,2.224840909090909,1069.4033711052637
Lunches,CatBoost,2.252308080808081,1069.4033711052637
Lunches,CatBoost,2.2797752525252526,1069.4033711052637
Lunches,CatBoost,2.3072424242424243,1069.4033711052637
Lunches,CatBoost,2.334709595959596,1069.4033711052637
Lunches,CatBoost,2.3621767676767678,1069.4033711052637
Lunches,CatBoost,2.3896439393939395,1069.4033711052637
Lunches,CatBoost,2.417111111111111,1069.4033711052637
Lunches,CatBoost,2.444578282828283,1069.4033711052637
Lunches,CatBoost,2.4720454545454547,1069.4033711052637
Lunches,CatBoost,2.4995126262626264,1069.4033711052637
Lunches,CatBoost,2.526979797979798,1069.4033711052637
Lunches,CatBoost,2.55444696969697,1069.4033711052637
Lunches,CatBoost,2.5819141414141416,1069.4033711052637
Lunches,CatBoost,2.6093813131313133,1069.4033711052637
Lunches,CatBoost,2.636848484848485,1069.4033711052637
Lunches,CatBoost,2.6643156565656567,1069.4033711052637
Lunches,CatBoost,2.6917828282828284,1069.4033711052637
Lunches,CatBoost,2.71925,1069.4033711052637
Lunches,LightGBM,0.0,1133.0138410739655
Lunches,LightGBM,0.02746717171717172,1093.1861154027395
Lunches,LightGBM,0.05493434343434344,1080.5045961568349
Lunches,LightGBM,0.08240151515151516,1080.3860918619293
Lunches,LightGBM,0.10986868686868688,1080.029941584304
Lunches,LightGBM,0.1373358585858586,1080.442184850423
Lunches,LightGBM,0.1648030303030303,1080.5817186498143
Lunches,LightGBM,0.19227020202020204,1080.7533162653967
Lunches,LightGBM,0.21973737373737376,1079.129167956036
Lunches,LightGBM,0.24720454545454548,1081.4434147521931
Lunches,LightGBM,0.2746717171717172,1079.5375767076066
Lunches,LightGBM,0.3021388888888889,1080.9279324615898
Lunches,LightGBM,0.3296060606060606,1092.6415353567272
Lunches,LightGBM,0.35707323232323235,1091.8863834204767
Lunches,LightGBM,0.38454040404040407,1076.2537753119989
Lunches,LightGBM,0.4120075757575758,1086.1115523254796
Lunches,LightGBM,0.4394747474747475,1079.8260703410772
Lunches,LightGBM,0.46694191919191924,1071.3591786714424
Lunches,LightGBM,0.49440909090909096,1069.3633706424412
Lunches,LightGBM,0.5218762626262626,1067.809661601901
Lunches,LightGBM,0.5493434343434344,1066.7434118393874
Lunches,LightGBM,0.5768106060606061,1066.7434118393874
Lunches,LightGBM,0.6042777777777778,1073.5628936207536
Lunches,LightGBM,0.6317449494949495,1073.9867369358535
Lunches,LightGBM,0.6592121212121212,1074.3037468760908
Lunches,LightGBM,0.686679292929293,1074.3976529177592
Lunches,LightGBM,0.7141464646464647,1074.3976529177592
Lunches,LightGBM,0.7416136363636364,1083.8349418880914
Lunches,LightGBM,0.7690808080808081,1083.8349418880914
Lunches,LightGBM,0.7965479797979799,1080.423186377386
Lunches,LightGBM,0.8240151515151516,1080.423186377386
Lunches,LightGBM,0.8514823232323233,1080.423186377386
Lunches,LightGBM,0.878949494949495,1079.4076265789333
Lunches,LightGBM,0.9064166666666668,1079.4076265789333
Lunches,LightGBM,0.9338838383838385,1079.4076265789333
Lunches,LightGBM,0.9613510101010102,1079.4076265789333
Lunches,LightGBM,0.9888181818181819,1079.3436127020534
Lunches,LightGBM,1.0162853535353535,1073.5365626763244
Lunches,LightGBM,1.0437525252525253,1073.2931995525607
Lunches,LightGBM,1.071219696969697,1073.2931995525607
Lunches,LightGBM,1.0986868686868687,1073.4752333412075
Lunches,LightGBM,1.1261540404040404,1075.2059478058964
Lunches,LightGBM,1.1536212121212122,1074.8513730821903
Lunches,LightGBM,1.1810883838383839,1074.8513730821903
Lunches,LightGBM,1.2085555555555556,1074.4129841597794
Lunches,LightGBM,1.2360227272727273,1074.4129841597794
Lunches,LightGBM,1.263489898989899,1074.4129841597794
