Dataset,Model,Longitude,Predicted Value
Mornings,CatBoost,144.94377105757576,712.2461359274809
Mornings,CatBoost,144.9441097340404,712.2461359274809
Mornings,CatBoost,144.94444841050506,712.2461359274809
Mornings,CatBoost,144.9447870869697,712.2461359274809
Mornings,CatBoost,144.94512576343436,712.2461359274809
Mornings,CatBoost,144.94546443989898,712.2461359274809
Mornings,CatBoost,144.94580311636363,712.2461359274809
Mornings,CatBoost,144.94614179282829,712.2461359274809
Mornings,CatBoost,144.94648046929294,712.2461359274809
Mornings,CatBoost,144.9468191457576,712.2461359274809
Mornings,CatBoost,144.94715782222224,712.2461359274809
Mornings,CatBoost,144.9474964986869,712.2461359274809
Mornings,CatBoost,144.9478351751515,712.2461359274809
Mornings,CatBoost,144.94817385161616,712.2461359274809
Mornings,CatBoost,144.9485125280808,712.2461359274809
Mornings,CatBoost,144.94885120454546,712.2461359274809
Mornings,CatBoost,144.9491898810101,732.0727737823905
Mornings,CatBoost,144.94952855747476,732.0727737823905
Mornings,CatBoost,144.9498672339394,732.0727737823905
Mornings,CatBoost,144.95020591040404,732.0727737823905
Mornings,CatBoost,144.9505445868687,732.0727737823905
Mornings,CatBoost,144.95088326333334,732.0727737823905
Mornings,CatBoost,144.951221939798,732.0727737823905
Mornings,CatBoost,144.95156061626264,732.0727737823905
Mornings,CatBoost,144.9518992927273,732.0727737823905
Mornings,CatBoost,144.9522379691919,732.0727737823905
Mornings,CatBoost,144.95257664565656,732.0727737823905
Mornings,CatBoost,144.9529153221212,732.0727737823905
Mornings,CatBoost,144.95325399858586,732.0727737823905
Mornings,CatBoost,144.95359267505052,732.0727737823905
Mornings,CatBoost,144.95393135151517,732.0727737823905
Mornings,CatBoost,144.9542700279798,732.0727737823905
Mornings,CatBoost,144.95460870444444,724.6028855828131
Mornings,CatBoost,144.9549473809091,724.6028855828131
Mornings,CatBoost,144.95528605737374,724.6028855828131
Mornings,CatBoost,144.9556247338384,724.6028855828131
Mornings,CatBoost,144.95596341030304,724.6028855828131
Mornings,CatBoost,144.9563020867677,724.6028855828131
Mornings,CatBoost,144.95664076323231,724.6028855828131
Mornings,CatBoost,144.95697943969697,724.6028855828131
Mornings,CatBoost,144.95731811616162,724.6028855828131
Mornings,CatBoost,144.95765679262627,724.6028855828131
Mornings,CatBoost,144.95799546909092,724.6028855828131
Mornings,CatBoost,144.95833414555557,724.6028855828131
Mornings,CatBoost,144.95867282202022,724.6028855828131
Mornings,CatBoost,144.95901149848484,724.6028855828131
Mornings,CatBoost,144.9593501749495,724.6028855828131
Mornings,CatBoost,144.95968885141414,724.6028855828131
Mornings,CatBoost,144.9600275278788,724.6028855828131
Mornings,CatBoost,144.96036620434344,724.6028855828131
Mornings,CatBoost,144.9607048808081,724.6028855828131
Mornings,CatBoost,144.96104355727272,724.6028855828131
Mornings,CatBoost,144.96138223373737,724.6028855828131
Mornings,CatBoost,144.96172091020202,724.0601838647218
Mornings,CatBoost,144.96205958666667,723.3737294623621
Mornings,CatBoost,144.96239826313132,723.3737294623621
Mornings,CatBoost,144.96273693959597,723.3737294623621
Mornings,CatBoost,144.96307561606062,722.0639508544024
Mornings,CatBoost,144.96341429252524,722.5862601053591
Mornings,CatBoost,144.9637529689899,722.5862601053591
