Dataset,Model,5 Edge length avg,Predicted Value
Lunches Special,LightGBM,28.075891421959547,926.353079685664
Lunches Special,LightGBM,28.32912865497077,926.2511775671345
Lunches Special,LightGBM,28.582365887981997,926.2511775671345
Lunches Special,LightGBM,28.835603120993223,926.2511775671345
Lunches Special,LightGBM,29.08884035400445,926.2511775671345
Lunches Special,LightGBM,29.342077587015677,926.2511775671345
Lunches Special,LightGBM,29.595314820026903,926.2511775671345
Lunches Special,LightGBM,29.84855205303813,926.2547473352334
Lunches Special,LightGBM,30.101789286049357,1006.866696857139
Lunches Special,LightGBM,30.355026519060583,1006.866696857139
Lunches Special,LightGBM,30.608263752071807,1006.866696857139
Lunches Special,LightGBM,30.861500985083033,1315.9331212257764
Lunches Special,LightGBM,31.11473821809426,1315.9331212257764
Lunches Special,LightGBM,31.367975451105487,1315.9331212257764
Lunches Special,LightGBM,31.621212684116713,1316.4315801660941
Lunches Special,LightGBM,31.87444991712794,1316.4315801660941
Lunches Special,LightGBM,32.12768715013917,1325.8629323034065
Lunches Special,LightGBM,32.38092438315039,1325.8629323034065
Lunches Special,LightGBM,32.63416161616162,1325.8629323034065
Lunches Special,LightGBM,32.88739884917285,1325.8629323034065
Lunches Special,LightGBM,33.14063608218407,1325.8629323034065
Lunches Special,LightGBM,33.3938733151953,1325.8629323034065
