Dataset,Model,5 Building use diversity,Predicted Value
Mornings,LightGBM,0.08940873180712658,394.0996863159368
Mornings,LightGBM,0.09139559251395162,394.04906208780227
Mornings,LightGBM,0.09338245322077665,394.0377038230302
Mornings,LightGBM,0.09536931392760169,394.0377038230302
Mornings,LightGBM,0.09735617463442672,394.0377038230302
Mornings,LightGBM,0.09934303534125176,394.0377038230302
Mornings,LightGBM,0.1013298960480768,394.0377038230302
Mornings,LightGBM,0.10331675675490183,394.0377038230302
Mornings,LightGBM,0.10530361746172687,394.0377038230302
Mornings,LightGBM,0.1072904781685519,394.0377038230302
Mornings,LightGBM,0.10927733887537694,394.0377038230302
Mornings,LightGBM,0.11126419958220196,394.0377038230302
Mornings,LightGBM,0.113251060289027,394.0377038230302
Mornings,LightGBM,0.11523792099585203,394.0377038230302
Mornings,LightGBM,0.11722478170267707,394.0377038230302
Mornings,LightGBM,0.1192116424095021,394.0377038230302
Mornings,LightGBM,0.12119850311632714,394.0377038230302
Mornings,LightGBM,0.12318536382315218,394.0377038230302
Mornings,LightGBM,0.12517222452997723,394.0377038230302
Mornings,LightGBM,0.12715908523680225,394.0377038230302
Mornings,LightGBM,0.12914594594362727,394.0377038230302
Mornings,LightGBM,0.13113280665045232,394.0377038230302
Mornings,LightGBM,0.13311966735727734,394.0377038230302
Mornings,LightGBM,0.1351065280641024,394.0377038230302
Mornings,LightGBM,0.13709338877092742,394.0377038230302
Mornings,LightGBM,0.13908024947775247,394.0377038230302
Mornings,LightGBM,0.1410671101845775,394.1256487656861
Mornings,LightGBM,0.14305397089140254,394.0823956873712
Mornings,LightGBM,0.14504083159822756,394.0823956873712
Mornings,LightGBM,0.1470276923050526,394.0823956873712
Mornings,LightGBM,0.14901455301187763,394.0890772706531
Mornings,LightGBM,0.15100141371870268,394.0890772706531
Mornings,LightGBM,0.1529882744255277,394.0890772706531
Mornings,LightGBM,0.15497513513235275,394.0890772706531
Mornings,LightGBM,0.15696199583917778,394.0890772706531
Mornings,LightGBM,0.15894885654600283,394.0890772706531
Mornings,LightGBM,0.16093571725282785,394.27049263892144
Mornings,LightGBM,0.16292257795965287,394.27049263892144
Mornings,LightGBM,0.16490943866647792,403.60812189267466
Mornings,LightGBM,0.16689629937330294,400.90167696730583
Mornings,LightGBM,0.168883160080128,400.90167696730583
Mornings,LightGBM,0.17087002078695301,400.90167696730583
Mornings,LightGBM,0.17285688149377806,400.90167696730583
Mornings,LightGBM,0.1748437422006031,400.90167696730583
Mornings,LightGBM,0.17683060290742814,400.90167696730583
Mornings,LightGBM,0.17881746361425316,400.90167696730583
Mornings,LightGBM,0.1808043243210782,400.90167696730583
Mornings,LightGBM,0.18279118502790323,400.90167696730583
Mornings,LightGBM,0.18477804573472828,400.90167696730583
Mornings,LightGBM,0.1867649064415533,399.6063514664873
Mornings,LightGBM,0.18875176714837835,399.6063514664873
Mornings,LightGBM,0.19073862785520337,399.0400853632656
Mornings,LightGBM,0.1927254885620284,399.0400853632656
Mornings,LightGBM,0.19471234926885345,399.0400853632656
Mornings,LightGBM,0.1966992099756785,398.0198640255094
Mornings,XGBoost,0.0,1040.431884765625
Mornings,XGBoost,0.001986860706825035,1027.8748779296875
Mornings,XGBoost,0.00397372141365007,917.9437866210938
Mornings,XGBoost,0.0059605821204751054,917.5499267578125
Mornings,XGBoost,0.00794744282730014,921.1967163085938
Mornings,XGBoost,0.009934303534125177,920.8806762695312
Mornings,XGBoost,0.011921164240950211,964.8091430664062
Mornings,XGBoost,0.013908024947775245,971.5181884765625
Mornings,XGBoost,0.01589488565460028,963.21875
Mornings,XGBoost,0.017881746361425317,398.74859619140625
Mornings,XGBoost,0.019868607068250353,396.560302734375
Mornings,XGBoost,0.021855467775075386,399.26043701171875
Mornings,XGBoost,0.023842328481900422,400.02081298828125
Mornings,XGBoost,0.025829189188725458,399.8700256347656
Mornings,XGBoost,0.02781604989555049,399.8700256347656
Mornings,XGBoost,0.029802910602375526,399.8700256347656
Mornings,XGBoost,0.03178977130920056,399.8700256347656
Mornings,XGBoost,0.0337766320160256,399.8700256347656
Mornings,XGBoost,0.035763492722850634,399.8700256347656
Mornings,XGBoost,0.03775035342967567,399.8700256347656
Mornings,XGBoost,0.039737214136500706,399.8700256347656
Mornings,XGBoost,0.041724074843325736,399.8700256347656
Mornings,XGBoost,0.04371093555015077,399.8700256347656
Mornings,XGBoost,0.04569779625697581,399.8700256347656
Mornings,XGBoost,0.047684656963800844,399.8700256347656
Mornings,XGBoost,0.04967151767062588,399.8700256347656
Mornings,XGBoost,0.051658378377450916,399.8700256347656
Mornings,XGBoost,0.05364523908427595,399.8700256347656
Mornings,XGBoost,0.05563209979110098,399.8700256347656
Mornings,XGBoost,0.05761896049792602,400.4934997558594
Mornings,XGBoost,0.05960582120475105,400.4934997558594
