Dataset,Model,Building count,Predicted Value
Mornings Special,LightGBM,39.03030303030303,282.2725642897283
Mornings Special,LightGBM,39.90909090909091,282.2725642897283
Mornings Special,LightGBM,40.78787878787879,284.4117069108575
Mornings Special,LightGBM,41.666666666666664,284.4117069108575
Mornings Special,LightGBM,42.54545454545455,260.33931218920645
Mornings Special,LightGBM,43.42424242424242,260.33931218920645
Mornings Special,LightGBM,44.303030303030305,260.40040188140733
Mornings Special,LightGBM,45.18181818181818,260.40040188140733
Mornings Special,LightGBM,46.06060606060606,260.3815122636076
Mornings Special,LightGBM,46.93939393939394,260.3815122636076
Mornings Special,LightGBM,47.81818181818182,260.3815122636076
Mornings Special,LightGBM,48.696969696969695,260.3815122636076
Mornings Special,LightGBM,49.57575757575758,260.3815122636076
Mornings Special,LightGBM,50.45454545454545,260.3815122636076
Mornings Special,LightGBM,51.333333333333336,260.3815122636076
Mornings Special,LightGBM,52.21212121212121,260.3815122636076
Mornings Special,LightGBM,53.09090909090909,263.65358336164354
Mornings Special,LightGBM,53.96969696969697,263.65358336164354
Mornings Special,LightGBM,54.84848484848485,263.65358336164354
Mornings Special,LightGBM,55.72727272727273,263.65358336164354
Mornings Special,LightGBM,56.60606060606061,263.65358336164354
Mornings Special,LightGBM,57.484848484848484,263.65358336164354
Mornings Special,LightGBM,58.36363636363637,263.65358336164354
Mornings Special,LightGBM,59.24242424242424,263.65358336164354
Mornings Special,LightGBM,60.12121212121212,263.65358336164354
Mornings Special,LightGBM,61.0,263.65358336164354
Mornings Special,LightGBM,61.878787878787875,263.65358336164354
Mornings Special,LightGBM,62.75757575757576,263.65358336164354
Mornings Special,LightGBM,63.63636363636363,263.65358336164354
Mornings Special,LightGBM,64.51515151515152,263.65358336164354
Mornings Special,LightGBM,65.39393939393939,263.65358336164354
Mornings Special,LightGBM,66.27272727272728,263.65358336164354
Mornings Special,LightGBM,67.15151515151516,263.65358336164354
Mornings Special,LightGBM,68.03030303030303,263.65358336164354
Mornings Special,LightGBM,68.9090909090909,263.65358336164354
Mornings Special,LightGBM,69.78787878787878,263.65358336164354
Mornings Special,LightGBM,70.66666666666667,263.65358336164354
Mornings Special,LightGBM,71.54545454545455,263.65358336164354
Mornings Special,LightGBM,72.42424242424242,263.65358336164354
Mornings Special,LightGBM,73.3030303030303,263.65358336164354
Mornings Special,LightGBM,74.18181818181819,263.65358336164354
Mornings Special,LightGBM,75.06060606060606,263.65358336164354
Mornings Special,LightGBM,75.93939393939394,263.65358336164354
Mornings Special,LightGBM,76.81818181818181,263.65358336164354
