Dataset,Model,15 Job count,Predicted Value
Mornings,CatBoost,81543.11111111111,719.3035398675167
Mornings,CatBoost,84173.16161616161,719.3035398675167
Mornings,CatBoost,86803.21212121211,719.3035398675167
Mornings,CatBoost,89433.26262626261,719.3035398675167
Mornings,CatBoost,92063.31313131313,719.3035398675167
Mornings,CatBoost,94693.36363636363,719.3035398675167
Mornings,CatBoost,97323.41414141413,719.3035398675167
Mornings,CatBoost,99953.46464646464,719.3035398675167
Mornings,CatBoost,102583.51515151515,719.3035398675167
Mornings,CatBoost,105213.56565656565,719.3035398675167
Mornings,CatBoost,107843.61616161616,717.0189699343251
Mornings,CatBoost,110473.66666666666,717.9642640645606
Mornings,CatBoost,113103.71717171716,717.1109378518853
Mornings,CatBoost,115733.76767676767,715.9424525738403
Mornings,CatBoost,118363.81818181818,715.9424525738403
Mornings,CatBoost,120993.86868686868,715.9424525738403
Mornings,CatBoost,123623.91919191918,715.9424525738403
Mornings,CatBoost,126253.9696969697,715.9424525738403
Mornings,CatBoost,128884.0202020202,715.9424525738403
Mornings,CatBoost,131514.0707070707,715.9424525738403
Mornings,CatBoost,134144.12121212122,715.9424525738403
Mornings,CatBoost,136774.1717171717,715.9424525738403
Mornings,CatBoost,139404.22222222222,715.9424525738403
Mornings,CatBoost,142034.2727272727,716.0982893506398
Mornings,CatBoost,144664.32323232322,730.9725146014739
Mornings,CatBoost,147294.37373737374,738.4858856730165
Mornings,CatBoost,149924.42424242423,738.4858856730165
Mornings,CatBoost,152554.47474747474,738.4858856730165
Mornings,CatBoost,155184.52525252523,736.918223854865
Mornings,CatBoost,157814.57575757575,736.9039544886258
Mornings,CatBoost,160444.62626262626,752.3826206942904
Mornings,CatBoost,163074.67676767675,741.374379192727
Mornings,CatBoost,165704.72727272726,741.3904438487591
Mornings,CatBoost,168334.77777777778,761.7548007276582
Mornings,CatBoost,170964.82828282827,757.1490987891024
Mornings,CatBoost,173594.87878787878,757.1883287966134
Mornings,CatBoost,176224.92929292927,757.2686277841055
Mornings,CatBoost,178854.9797979798,757.2686277841055
Mornings,CatBoost,181485.0303030303,757.2215618576517
Mornings,CatBoost,184115.0808080808,757.2572368906752
Mornings,CatBoost,186745.1313131313,757.3787702445463
Mornings,CatBoost,189375.1818181818,757.9597766733424
Mornings,CatBoost,192005.2323232323,757.8627133486654
Mornings,CatBoost,194635.28282828283,757.8627133486654
Mornings,CatBoost,197265.3333333333,756.9122732557693
Mornings,CatBoost,199895.38383838383,756.9122732557693
Mornings,CatBoost,202525.43434343432,756.9122732557693
Mornings,CatBoost,205155.48484848483,763.968477561851
Mornings,CatBoost,207785.53535353535,758.03555084728
Mornings,CatBoost,210415.58585858584,756.2045679832531
Mornings,CatBoost,213045.63636363635,750.9250040387116
Mornings,CatBoost,215675.68686868684,780.0266022250667
Mornings,CatBoost,218305.73737373736,780.0266022250667
Mornings,CatBoost,220935.78787878787,780.5854168811004
Mornings,CatBoost,223565.83838383836,779.7873384435372
Mornings,CatBoost,226195.88888888888,774.4576378070683
Mornings,CatBoost,228825.9393939394,773.5064681941909
Mornings,CatBoost,231455.98989898988,773.5064681941909
Mornings,CatBoost,234086.0404040404,773.1263506276429
Mornings,CatBoost,236716.09090909088,773.259501026707
Mornings,CatBoost,239346.1414141414,773.3437386817388
Mornings,CatBoost,241976.19191919192,773.3437386817388
Mornings,CatBoost,244606.2424242424,778.9416925962222
Mornings,CatBoost,247236.29292929292,778.5100876312387
Mornings,CatBoost,249866.3434343434,780.235138117749
Mornings,CatBoost,252496.39393939392,794.9451986005325
Mornings,CatBoost,255126.44444444444,794.9451986005325
Mornings,CatBoost,257756.49494949493,791.0295430742507
Mornings,CatBoost,260386.54545454544,793.2104222321974
Mornings,CatBoost,263016.5959595959,802.77864168717
Mornings,CatBoost,265646.64646464644,802.77864168717
Mornings,CatBoost,268276.69696969696,802.8017949692073
Mornings,CatBoost,270906.7474747475,802.8017949692073
Mornings,CatBoost,273536.79797979794,802.8017949692073
Mornings,CatBoost,276166.84848484845,802.8017949692073
Mornings,CatBoost,278796.89898989897,804.8829082896748
Mornings,CatBoost,281426.9494949495,805.2755998513454
Mornings,CatBoost,284057.0,805.2755998513454
Mornings,LightGBM,23682.0,901.4376630934587
Mornings,LightGBM,26312.050505050505,901.4376630934587
Mornings,LightGBM,28942.10101010101,901.45283242957
