Dataset,Model,Visual complexity mean,Predicted Value
Lunches,CatBoost,1.8960019568049904,1138.379604837143
Lunches,CatBoost,1.9019187003678641,1138.379604837143
Lunches,CatBoost,1.907835443930738,1138.379604837143
Lunches,CatBoost,1.9137521874936119,1147.3630329309383
Lunches,CatBoost,1.9196689310564856,1146.4110025154976
Lunches,CatBoost,1.9255856746193596,1146.4110025154976
Lunches,CatBoost,1.9315024181822333,1146.4110025154976
Lunches,CatBoost,1.9374191617451073,1146.6986117278245
Lunches,CatBoost,1.943335905307981,1146.6986117278245
Lunches,CatBoost,1.9492526488708548,1146.6986117278245
Lunches,CatBoost,1.9551693924337288,1143.4009515472926
Lunches,CatBoost,1.9610861359966025,1143.4009515472926
Lunches,CatBoost,1.9670028795594763,1143.4009515472926
Lunches,CatBoost,1.9729196231223503,1143.4009515472926
Lunches,CatBoost,1.978836366685224,1142.344384241656
Lunches,CatBoost,1.9847531102480978,1142.344384241656
Lunches,CatBoost,1.9906698538109717,1142.344384241656
Lunches,CatBoost,1.9965865973738457,1142.344384241656
Lunches,CatBoost,2.0025033409367192,1142.344384241656
Lunches,CatBoost,2.008420084499593,1142.344384241656
Lunches,CatBoost,2.014336828062467,1142.344384241656
Lunches,CatBoost,2.020253571625341,1142.344384241656
Lunches,CatBoost,2.0261703151882147,1142.344384241656
Lunches,CatBoost,2.0320870587510886,1142.344384241656
Lunches,CatBoost,2.0380038023139626,1142.344384241656
Lunches,CatBoost,2.043920545876836,1142.344384241656
Lunches,CatBoost,2.04983728943971,1142.344384241656
Lunches,CatBoost,2.055754033002584,1142.344384241656
Lunches,CatBoost,2.0616707765654576,1142.344384241656
Lunches,CatBoost,2.0675875201283316,1142.344384241656
Lunches,CatBoost,2.0735042636912056,1142.344384241656
Lunches,CatBoost,2.079421007254079,1142.344384241656
Lunches,CatBoost,2.085337750816953,1138.9641336488644
Lunches,CatBoost,2.091254494379827,1138.9641336488644
Lunches,CatBoost,2.0971712379427006,1138.9641336488644
Lunches,CatBoost,2.1030879815055745,1138.9641336488644
Lunches,CatBoost,2.1090047250684485,1138.9641336488644
Lunches,CatBoost,2.1149214686313225,1138.9641336488644
Lunches,CatBoost,2.120838212194196,1138.9641336488644
Lunches,CatBoost,2.12675495575707,1138.9641336488644
Lunches,LightGBM,1.54099734303256,916.180257204865
Lunches,LightGBM,1.5469140865954338,916.180257204865
Lunches,LightGBM,1.5528308301583078,916.9355286226206
Lunches,LightGBM,1.5587475737211816,916.9355286226206
Lunches,LightGBM,1.5646643172840555,916.9355286226206
Lunches,LightGBM,1.5705810608469293,916.9355286226206
Lunches,LightGBM,1.576497804409803,916.9355286226206
Lunches,LightGBM,1.582414547972677,916.9355286226206
Lunches,LightGBM,1.5883312915355507,916.9355286226206
Lunches,LightGBM,1.5942480350984247,916.9355286226206
Lunches,LightGBM,1.6001647786612985,916.9355286226206
Lunches,LightGBM,1.6060815222241722,916.9355286226206
Lunches,LightGBM,1.6119982657870462,916.9355286226206
Lunches,LightGBM,1.61791500934992,916.9355286226206
Lunches,LightGBM,1.623831752912794,916.9355286226206
Lunches,LightGBM,1.6297484964756677,916.9355286226206
Lunches,LightGBM,1.6356652400385414,917.3273356063421
Lunches,LightGBM,1.6415819836014154,917.3273356063421
Lunches,LightGBM,1.6474987271642891,917.3273356063421
Lunches,LightGBM,1.6534154707271629,917.3273356063421
Lunches,LightGBM,1.6593322142900369,917.3273356063421
Lunches,LightGBM,1.6652489578529106,917.3273356063421
Lunches,LightGBM,1.6711657014157846,917.3273356063421
Lunches,LightGBM,1.6770824449786583,917.3273356063421
Lunches,LightGBM,1.6829991885415323,917.3273356063421
Lunches,LightGBM,1.688915932104406,917.3273356063421
Lunches,LightGBM,1.6948326756672798,917.3167072474898
Lunches,LightGBM,1.7007494192301538,914.2889582217821
Lunches,LightGBM,1.7066661627930275,914.2889582217821
Lunches,LightGBM,1.7125829063559013,914.2730633828835
Lunches,LightGBM,1.7184996499187752,914.2730633828835
Lunches,LightGBM,1.724416393481649,913.6988871016736
Lunches,LightGBM,1.730333137044523,913.6988871016736
Lunches,LightGBM,1.7362498806073967,913.6988871016736
Lunches,LightGBM,1.7421666241702705,913.6988871016736
Lunches,LightGBM,1.7480833677331444,913.5489408345807
Lunches,LightGBM,1.7540001112960182,913.5489408345807
Lunches,LightGBM,1.7599168548588922,913.5489408345807
Lunches,LightGBM,1.765833598421766,894.3186811177579
Lunches,LightGBM,1.7717503419846397,939.9184050408678
Lunches,LightGBM,1.7776670855475136,939.9184050408678
Lunches,LightGBM,1.7835838291103874,908.5627119260024
Lunches,LightGBM,1.7895005726732613,908.6566424706822
Lunches,LightGBM,1.795417316236135,908.5842845649983
Lunches,LightGBM,1.8013340597990088,908.4215310343449
Lunches,LightGBM,1.8072508033618828,918.2215174841891
Lunches,LightGBM,1.8131675469247566,918.2258935957992
Lunches,LightGBM,1.8190842904876305,918.1396402882465
