Dataset,Model,Road view mean,Predicted Value
Evenings,LightGBM,0.34424579124579124,618.3364583264886
Evenings,LightGBM,0.34858249158249166,618.3364583264886
Evenings,LightGBM,0.35291919191919197,618.3364583264886
Evenings,LightGBM,0.35725589225589227,618.3364583264886
Evenings,LightGBM,0.3615925925925926,618.3364583264886
Evenings,LightGBM,0.365929292929293,618.3364583264886
Evenings,LightGBM,0.3702659932659933,618.3364583264886
Evenings,LightGBM,0.3746026936026936,618.3364583264886
Evenings,LightGBM,0.378939393939394,618.3364583264886
Evenings,LightGBM,0.3832760942760943,618.3364583264886
Evenings,LightGBM,0.38761279461279463,615.4013585230955
Evenings,LightGBM,0.39194949494949494,615.4013585230955
Evenings,LightGBM,0.39628619528619535,615.4013585230955
Evenings,LightGBM,0.40062289562289566,615.4013585230955
Evenings,LightGBM,0.40495959595959596,614.0704160555061
Evenings,LightGBM,0.4092962962962964,614.0704160555061
Evenings,LightGBM,0.4136329966329967,614.0704160555061
Evenings,LightGBM,0.417969696969697,614.0704160555061
Evenings,LightGBM,0.4223063973063973,614.0704160555061
Evenings,LightGBM,0.4266430976430977,614.0704160555061
Evenings,LightGBM,0.430979797979798,612.4874760818312
Evenings,LightGBM,0.4353164983164983,612.4874760818312
Evenings,LightGBM,0.43965319865319863,612.4874760818312
Evenings,LightGBM,0.44398989898989905,612.4874760818312
Evenings,LightGBM,0.44832659932659935,612.4874760818312
Evenings,LightGBM,0.45266329966329966,612.4874760818312
Evenings,LightGBM,0.457,612.4874760818312
Lunches Special,CatBoost,0.0276666666666667,910.7713063167588
Lunches Special,CatBoost,0.032003367003367034,910.7713063167588
Lunches Special,CatBoost,0.036340067340067374,910.7713063167588
Lunches Special,CatBoost,0.040676767676767714,910.7713063167588
Lunches Special,CatBoost,0.04501346801346805,910.7713063167588
Lunches Special,CatBoost,0.04935016835016838,910.7713063167588
Lunches Special,CatBoost,0.05368686868686872,903.8093825647941
Lunches Special,CatBoost,0.05802356902356906,903.8093825647941
Lunches Special,CatBoost,0.062360269360269394,903.8093825647941
Lunches Special,CatBoost,0.06669696969696973,903.8093825647941
Lunches Special,CatBoost,0.07103367003367006,903.8093825647941
Lunches Special,CatBoost,0.07537037037037041,903.8093825647941
Lunches Special,CatBoost,0.07970707070707074,903.8093825647941
Lunches Special,CatBoost,0.08404377104377107,898.9249560485666
Lunches Special,CatBoost,0.08838047138047142,898.9249560485666
Lunches Special,CatBoost,0.09271717171717175,897.0138072452677
Lunches Special,CatBoost,0.09705387205387209,897.0138072452677
Lunches Special,CatBoost,0.10139057239057242,897.0138072452677
Lunches Special,CatBoost,0.10572727272727275,896.801339791733
Lunches Special,CatBoost,0.1100639730639731,896.801339791733
Lunches Special,CatBoost,0.11440067340067343,896.7754477129474
Lunches Special,CatBoost,0.11873737373737377,913.2410441561001
Lunches Special,CatBoost,0.12307407407407411,913.2410441561001
Lunches Special,CatBoost,0.12741077441077445,913.2410441561001
