Dataset,Model,Closeness centrality,Predicted Value
Afternoons Special,LightGBM,0.01203030303030303,891.4201879383219
Afternoons Special,LightGBM,0.012151515151515153,891.4201879383219
Afternoons Special,LightGBM,0.012272727272727272,891.4201879383219
Afternoons Special,LightGBM,0.012393939393939395,891.4201879383219
Afternoons Special,LightGBM,0.012515151515151514,891.4201879383219
Afternoons Special,LightGBM,0.012636363636363637,891.4201879383219
Afternoons Special,LightGBM,0.012757575757575757,891.4201879383219
Afternoons Special,LightGBM,0.012878787878787878,891.4201879383219
Afternoons Special,LightGBM,0.013000000000000001,891.4201879383219
Afternoons Special,LightGBM,0.01312121212121212,891.0604063483819
Afternoons Special,LightGBM,0.013242424242424243,891.0604063483819
Afternoons Special,LightGBM,0.013363636363636362,891.0604063483819
Afternoons Special,LightGBM,0.013484848484848485,891.0604063483819
Afternoons Special,LightGBM,0.013606060606060608,891.0604063483819
Afternoons Special,LightGBM,0.013727272727272727,891.0604063483819
Afternoons Special,LightGBM,0.01384848484848485,891.0604063483819
Afternoons Special,LightGBM,0.013969696969696969,891.0604063483819
Afternoons Special,LightGBM,0.014090909090909091,891.0604063483819
Afternoons Special,LightGBM,0.01421212121212121,891.0604063483819
Afternoons Special,LightGBM,0.014333333333333333,891.0604063483819
Afternoons Special,LightGBM,0.014454545454545456,891.0604063483819
Afternoons Special,LightGBM,0.014575757575757575,891.0604063483819
Afternoons Special,LightGBM,0.014696969696969698,891.0604063483819
Afternoons Special,LightGBM,0.014818181818181817,891.0604063483819
Afternoons Special,LightGBM,0.01493939393939394,891.0604063483819
Afternoons Special,LightGBM,0.015060606060606059,891.0604063483819
Afternoons Special,LightGBM,0.015181818181818182,891.0604063483819
Afternoons Special,LightGBM,0.015303030303030304,891.0604063483819
Afternoons Special,LightGBM,0.015424242424242424,891.0604063483819
Afternoons Special,LightGBM,0.015545454545454546,891.0604063483819
Afternoons Special,LightGBM,0.015666666666666666,891.0604063483819
Afternoons Special,LightGBM,0.015787878787878788,891.0604063483819
Afternoons Special,LightGBM,0.015909090909090907,891.0604063483819
Afternoons Special,LightGBM,0.01603030303030303,979.2707781797401
Afternoons Special,LightGBM,0.016151515151515153,979.2707781797401
Afternoons Special,LightGBM,0.016272727272727272,979.2707781797401
Afternoons Special,LightGBM,0.016393939393939395,979.2707781797401
Afternoons Special,LightGBM,0.016515151515151514,979.2707781797401
Afternoons Special,LightGBM,0.016636363636363637,979.2707781797401
Afternoons Special,LightGBM,0.016757575757575756,979.2707781797401
Afternoons Special,LightGBM,0.01687878787878788,979.2707781797401
Afternoons Special,LightGBM,0.017,979.2707781797401
Afternoons Special,XGBoost,0.005,1124.94287109375
Afternoons Special,XGBoost,0.005121212121212121,1124.94287109375
Afternoons Special,XGBoost,0.005242424242424243,1124.94287109375
Afternoons Special,XGBoost,0.005363636363636364,1124.94287109375
Afternoons Special,XGBoost,0.005484848484848485,1124.94287109375
Afternoons Special,XGBoost,0.005606060606060606,1124.94287109375
Afternoons Special,XGBoost,0.0057272727272727275,1124.94287109375
Afternoons Special,XGBoost,0.0058484848484848485,1124.94287109375
Afternoons Special,XGBoost,0.0059696969696969695,1124.94287109375
Afternoons Special,XGBoost,0.006090909090909091,1124.94287109375
Afternoons Special,XGBoost,0.006212121212121212,1124.94287109375
Afternoons Special,XGBoost,0.006333333333333333,1124.94287109375
Afternoons Special,XGBoost,0.006454545454545454,1124.94287109375
Afternoons Special,XGBoost,0.006575757575757576,1124.94287109375
Afternoons Special,XGBoost,0.006696969696969697,1124.94287109375
Afternoons Special,XGBoost,0.006818181818181819,1124.94287109375
Afternoons Special,XGBoost,0.00693939393939394,1124.94287109375
Afternoons Special,XGBoost,0.007060606060606061,1122.1123046875
Afternoons Special,XGBoost,0.007181818181818182,1122.1123046875
Afternoons Special,XGBoost,0.0073030303030303025,1122.1123046875
Afternoons Special,XGBoost,0.007424242424242424,1122.1123046875
Afternoons Special,XGBoost,0.007545454545454545,1122.1123046875
Afternoons Special,XGBoost,0.007666666666666667,1122.1123046875
Afternoons Special,XGBoost,0.007787878787878788,1122.1123046875
Afternoons Special,XGBoost,0.007909090909090909,1122.1123046875
Afternoons Special,XGBoost,0.00803030303030303,966.4180908203125
Afternoons Special,XGBoost,0.008151515151515151,966.4180908203125
Afternoons Special,XGBoost,0.008272727272727272,966.4180908203125
Afternoons Special,XGBoost,0.008393939393939395,966.4180908203125
Afternoons Special,XGBoost,0.008515151515151516,966.4180908203125
Afternoons Special,XGBoost,0.008636363636363636,966.4180908203125
Afternoons Special,XGBoost,0.008757575757575757,966.4180908203125
